[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 report_file_info,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ace_ep,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ace_mag,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ace_sis,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ace_sw,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ap,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_dst,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_f107,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库表element_goes_ie 导出数据, 6条
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  element_goes_ie,压缩并导出
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库表element_goes_ip 导出数据, 6条
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  element_goes_ip,压缩并导出
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库表element_goes_mag 导出数据, 33条
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  element_goes_mag,压缩并导出
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库表element_goes_xr 导出数据, 33条
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  element_goes_xr,压缩并导出
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库表element_hpi 导出数据, 4条
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  element_hpi,压缩并导出
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库表element_kp 导出数据, 2条
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  element_kp,压缩并导出
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_rad,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ssn,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ste_het,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ste_mag,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_ste_sw,产品不存在,时间段2020-07-24 2020-07-24
